id;bald;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
1080;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;3;1;1420.622
1060;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1064;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1069;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1071;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1077;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1087;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;4;1;1420.622
1061;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;5;1;1420.622
1066;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;5;1;1420.622
1062;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;6;1;1420.622
1065;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;6;1;1420.622
1067;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;6;1;1420.622
1079;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;6;1;1420.622
1081;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;6;1;1420.622
1075;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;7;1;1420.622
1083;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;7;1;1420.622
1072;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;10;1;1420.622
1086;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;22;0;1420.622
1084;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;25;0;1420.622
1085;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;31;0;1420.622
